timestamp,symbol,side,entry_price,exit_price,quantity,pnl,pnl_R,duration_ms,slippage_entry,slippage_exit,exit_reason,mae,mfe
1770375808131,ETHUSDT,BUY,1957.94,1957.95,0.04,0.0004,0.0003,531,,,position_closed,,
1770375816353,SOLUSDT,BUY,83.87,80.51,0.8,-2.688,-2.1504,3978,,,sl_hit,,
1770375851855,DOGEUSDT,BUY,0.09653,0.09654,314,0.00314,0.0025,4284,,,confidence_exit,,
1770375855092,SOLUSDT,SELL,83.89,83.88,0.5,0.005,0.004,318,,,position_closed,,
1770375858922,XRPUSDT,BUY,1.3725,1.3726,26,0.0026,0.0021,1048,,,confidence_exit,,
1770375867503,ETHUSDT,SELL,1961.23,1961.22,0.03,0.0003,0.0002,349,,,position_closed,,
1770375883013,DOGEUSDT,SELL,0.09003,0.09002,454,0.00454,0.0036,284,,,position_closed,,
1770375916515,SOLUSDT,BUY,80.51,42.42,0.5,-19.045,-15.236,5525,,,position_closed,,
1770384201927,SOLUSDT,BUY,82.3,82.31,0.7000000000000001,0.007,0.0056,596,,,position_closed,,
1770384276358,SOLUSDT,BUY,82.93,82.94,0.30000000000000004,0.003,0.0024,340,,,position_closed,,
1770384281627,DOGEUSDT,SELL,0.09845,0.09844,311,0.00311,0.0025,4085,,,confidence_exit,,
1770384304952,XRPUSDT,SELL,1.4018,1.4017,22,0.0022,0.0018,638,,,position_closed,,
1770384362037,XRPUSDT,BUY,1.3993,1.3994,22,0.0022,0.0018,5648,,,confidence_exit,,
1770384422833,XRPUSDT,BUY,1.3969,1.397,22,0.0022,0.0018,258,,,position_closed,,
1770384456142,XRPUSDT,BUY,1.3926,1.3409,28,-1.4476,-1.1581,1141,,,sl_hit,,
1770384492694,SOLUSDT,SELL,83.18,83.17500000000001,0.4,0.002,0.0016,1970,,,confidence_exit,,
1770384508203,XRPUSDT,SELL,1.448,1.4479,28,0.0028,0.0022,608,,,position_closed,,
1770384536735,SOLUSDT,BUY,83.04,83.05000000000001,0.30000000000000004,0.003,0.0024,291,,,position_closed,,
1770384539692,DOGEUSDT,SELL,0.09441,0.0944,309,0.00309,0.0025,1795,,,confidence_exit,,
1770384540855,XRPUSDT,SELL,1.4459,1.4458,28,0.0028,0.0022,295,,,position_closed,,
1770384552296,DOGEUSDT,BUY,0.0,0.09433,7,0.0014,0.0,0,,,grid_harvest,,
1770384556811,DOGEUSDT,SELL,0.0,0.09452,7,0.0014,0.0,0,,,grid_harvest,,
1770384556811,DOGEUSDT,SELL,0.0,0.09432,7,0.0014,0.0,0,,,grid_harvest,,
1770384560432,DOGEUSDT,BUY,0.0,0.09373,7,0.0014,0.0,0,,,grid_harvest,,
1770384560432,DOGEUSDT,BUY,0.0,0.09413,7,0.0014,0.0,0,,,grid_harvest,,
1770384566328,ETHUSDT,BUY,1948.33,1948.34,0.03,0.0003,0.0002,652,,,position_closed,,
1770384566412,DOGEUSDT,SELL,0.0,0.09492,7,0.0014,0.0,0,,,grid_harvest,,
1770384566412,DOGEUSDT,SELL,0.0,0.09472,7,0.0014,0.0,0,,,grid_harvest,,
1770384569596,SOLUSDT,BUY,82.83,82.83500000000001,0.4,0.002,0.0016,578,,,position_closed,,
1770384571717,DOGEUSDT,BUY,0.0,0.09393,7,0.0014,0.0,0,,,grid_harvest,,
1770384574377,DOGEUSDT,BUY,0.09166,0.09167,359,0.00359,0.0029,2935,,,confidence_exit,,
1770384576331,XRPUSDT,BUY,1.3383,1.3384,31,0.0031,0.0025,270,,,position_closed,,
1770384578268,BTCUSDT,SELL,66951.0,66950.95,0.007,0.00035,0.0003,583,,,position_closed,,
1770384602839,SOLUSDT,BUY,85.87,85.875,0.4,0.002,0.0016,706,,,confidence_exit,,
1770384623838,XRPUSDT,SELL,1.4432,1.4429500000000002,29,0.00725,0.0058,8304,,,confidence_exit,,
1770384625424,DOGEUSDT,BUY,0.09424,0.09425,419,0.00419,0.0034,302,,,position_closed,,
1770384637615,SOLUSDT,SELL,85.89,85.88,0.30000000000000004,0.003,0.0024,2774,,,confidence_exit,,
1770384639160,ETHUSDT,SELL,1978.29,1978.28,0.03,0.0003,0.0002,617,,,position_closed,,
1770384657336,XRPUSDT,SELL,1.4334,1.4333,29,0.0029,0.0023,1010,,,confidence_exit,,
1770384771820,XRPUSDT,SELL,1.4414,1.4413,27,0.0027,0.0022,9869,,,confidence_exit,,
1770384790736,DOGEUSDT,SELL,0.09469,0.09468,409,0.00409,0.0033,3494,,,confidence_exit,,
1770384836674,XRPUSDT,BUY,1.3884,1.3885,27,0.0027,0.0022,563,,,position_closed,,
1770384886951,XRPUSDT,BUY,1.3848,1.3849,28,0.0028,0.0022,335,,,position_closed,,
1770384928343,SOLUSDT,BUY,79.3,79.31,0.4,0.004,0.0032,6706,,,confidence_exit,,
1770385094734,XRPUSDT,SELL,1.4202,1.4745,29,-1.5747,-1.2598,8059,,,sl_hit,,
1770385127170,XRPUSDT,SELL,1.4177,1.4176,29,0.0029,0.0023,613,,,position_closed,,
1770385137820,ETHUSDT,SELL,1975.98,1975.9650000000001,0.03,0.00045,0.0004,1983,,,confidence_exit,,
1770385163189,XRPUSDT,BUY,1.3586,1.3587,29,0.0029,0.0023,615,,,position_closed,,
1770385192984,SOLUSDT,BUY,82.44,82.44999999999999,0.4,0.004,0.0032,24172,,,confidence_exit,,
1770385207178,DOGEUSDT,BUY,0.09288,0.09289,387,0.00387,0.0031,9452,,,confidence_exit,,
1770385210043,SOLUSDT,BUY,82.61,82.61500000000001,0.4,0.002,0.0016,283,,,position_closed,,
1770385224138,XRPUSDT,SELL,1.4118,1.4117,30,0.003,0.0024,1365,,,confidence_exit,,
1770385242321,DOGEUSDT,SELL,0.0,0.09652,7,0.00476,0.0,0,,,grid_harvest,,
1770385251482,ETHUSDT,BUY,1934.72,1922.71,0.03,-0.3603,-0.2882,3537,,,confidence_exit,,
1770385254706,DOGEUSDT,BUY,0.0,0.09648,7,0.00203,0.0,0,,,grid_harvest,,
1770385277284,DOGEUSDT,SELL,0.0,0.09452,7,0.0014,0.0,0,,,grid_harvest,,
1770385280628,DOGEUSDT,BUY,0.0,0.09392,7,0.0014,0.0,0,,,grid_harvest,,
1770385280628,DOGEUSDT,BUY,0.0,0.09412,7,0.0014,0.0,0,,,grid_harvest,,
1770385280628,DOGEUSDT,BUY,0.0,0.09432,7,0.0014,0.0,0,,,grid_harvest,,
1770385280628,DOGEUSDT,BUY,0.0,0.09452,7,0.0014,0.0,0,,,grid_harvest,,
1770385287813,DOGEUSDT,SELL,0.0,0.09471,7,0.0014,0.0,0,,,grid_harvest,,
1770385297047,DOGEUSDT,BUY,0.09634,0.0925,444,-1.70496,-1.3637,12534,,,sl_hit,,
